MeterId,StartDate,EndDate,Value (kWh),Notes
10443720000759353,2018-08-05 00:00:00,2018-08-05 01:00:00,2.343,
10443720000759353,2018-08-05 01:00:00,2018-08-05 02:00:00,1.211,
10443720000759353,2018-08-05 02:00:00,2018-08-05 03:00:00,1.199,
10443720000759353,2018-08-05 03:00:00,2018-08-05 04:00:00,2.251,
10443720000759353,2018-08-05 04:00:00,2018-08-05 05:00:00,1.064,
10443720000759353,2018-08-05 05:00:00,2018-08-05 06:00:00,1.452,
10443720000759353,2018-08-05 06:00:00,2018-08-05 07:00:00,1.843,
10443720000759353,2018-08-05 07:00:00,2018-08-05 08:00:00,1.301,
10443720000759353,2018-08-05 08:00:00,2018-08-05 09:00:00,0.993,
10443720000759353,2018-08-05 09:00:00,2018-08-05 10:00:00,1.216,
10443720000759353,2018-08-05 10:00:00,2018-08-05 11:00:00,1.978,
10443720000759353,2018-08-05 11:00:00,2018-08-05 12:00:00,1.477,
10443720000759353,2018-08-05 12:00:00,2018-08-05 13:00:00,2.441,
10443720000759353,2018-08-05 13:00:00,2018-08-05 14:00:00,2.5,
10443720000759353,2018-08-05 14:00:00,2018-08-05 15:00:00,2.546,
10443720000759353,2018-08-05 15:00:00,2018-08-05 16:00:00,2.584,
10443720000759353,2018-08-05 16:00:00,2018-08-05 17:00:00,2.57,
10443720000759353,2018-08-05 17:00:00,2018-08-05 18:00:00,2.895,
10443720000759353,2018-08-05 18:00:00,2018-08-05 19:00:00,2.547,
10443720000759353,2018-08-05 19:00:00,2018-08-05 20:00:00,2.512,
10443720000759353,2018-08-05 20:00:00,2018-08-05 21:00:00,2.489,
10443720000759353,2018-08-05 21:00:00,2018-08-05 22:00:00,2.471,
10443720000759353,2018-08-05 22:00:00,2018-08-05 23:00:00,2.459,
10443720000759353,2018-08-05 23:00:00,2018-08-06 00:00:00,2.073,
10443720000759353,2018-08-06 00:00:00,2018-08-06 01:00:00,2.223,
10443720000759353,2018-08-06 01:00:00,2018-08-06 02:00:00,1.426,
10443720000759353,2018-08-06 02:00:00,2018-08-06 03:00:00,1.424,
10443720000759353,2018-08-06 03:00:00,2018-08-06 04:00:00,2.217,
10443720000759353,2018-08-06 04:00:00,2018-08-06 05:00:00,1.581,
10443720000759353,2018-08-06 05:00:00,2018-08-06 06:00:00,1.079,
10443720000759353,2018-08-06 06:00:00,2018-08-06 07:00:00,1.071,
10443720000759353,2018-08-06 07:00:00,2018-08-06 08:00:00,1.663,
10443720000759353,2018-08-06 08:00:00,2018-08-06 09:00:00,1.537,
10443720000759353,2018-08-06 09:00:00,2018-08-06 10:00:00,1.099,
10443720000759353,2018-08-06 10:00:00,2018-08-06 11:00:00,1.171,
10443720000759353,2018-08-06 11:00:00,2018-08-06 12:00:00,2.411,
10443720000759353,2018-08-06 12:00:00,2018-08-06 13:00:00,2.432,
10443720000759353,2018-08-06 13:00:00,2018-08-06 14:00:00,2.858,
10443720000759353,2018-08-06 14:00:00,2018-08-06 15:00:00,3.304,
10443720000759353,2018-08-06 15:00:00,2018-08-06 16:00:00,3.127,
10443720000759353,2018-08-06 16:00:00,2018-08-06 17:00:00,3.105,
10443720000759353,2018-08-06 17:00:00,2018-08-06 18:00:00,3.024,
10443720000759353,2018-08-06 18:00:00,2018-08-06 19:00:00,2.103,
10443720000759353,2018-08-06 19:00:00,2018-08-06 20:00:00,4.261,
10443720000759353,2018-08-06 20:00:00,2018-08-06 21:00:00,2.916,
10443720000759353,2018-08-06 21:00:00,2018-08-06 22:00:00,3.552,
10443720000759353,2018-08-06 22:00:00,2018-08-06 23:00:00,2.932,
10443720000759353,2018-08-06 23:00:00,2018-08-07 00:00:00,2.404,
10443720000759353,2018-08-07 00:00:00,2018-08-07 01:00:00,2.338,
10443720000759353,2018-08-07 01:00:00,2018-08-07 02:00:00,2.296,
10443720000759353,2018-08-07 02:00:00,2018-08-07 03:00:00,2.226,
10443720000759353,2018-08-07 03:00:00,2018-08-07 04:00:00,1.397,
10443720000759353,2018-08-07 04:00:00,2018-08-07 05:00:00,1.444,
10443720000759353,2018-08-07 05:00:00,2018-08-07 06:00:00,1.45,
10443720000759353,2018-08-07 06:00:00,2018-08-07 07:00:00,1.289,
10443720000759353,2018-08-07 07:00:00,2018-08-07 08:00:00,1.585,
10443720000759353,2018-08-07 08:00:00,2018-08-07 09:00:00,1.387,
10443720000759353,2018-08-07 09:00:00,2018-08-07 10:00:00,2.412,
10443720000759353,2018-08-07 10:00:00,2018-08-07 11:00:00,3.641,
10443720000759353,2018-08-07 11:00:00,2018-08-07 12:00:00,3.09,
10443720000759353,2018-08-07 12:00:00,2018-08-07 13:00:00,2.873,
10443720000759353,2018-08-07 13:00:00,2018-08-07 14:00:00,2.484,
10443720000759353,2018-08-07 14:00:00,2018-08-07 15:00:00,2.473,
10443720000759353,2018-08-07 15:00:00,2018-08-07 16:00:00,2.508,
10443720000759353,2018-08-07 16:00:00,2018-08-07 17:00:00,2.84,
10443720000759353,2018-08-07 17:00:00,2018-08-07 18:00:00,2.503,
10443720000759353,2018-08-07 18:00:00,2018-08-07 19:00:00,2.625,
10443720000759353,2018-08-07 19:00:00,2018-08-07 20:00:00,2.641,
10443720000759353,2018-08-07 20:00:00,2018-08-07 21:00:00,2.828,
10443720000759353,2018-08-07 21:00:00,2018-08-07 22:00:00,3.585,
10443720000759353,2018-08-07 22:00:00,2018-08-07 23:00:00,2.418,
10443720000759353,2018-08-07 23:00:00,2018-08-08 00:00:00,2.391,
10443720000759353,2018-08-08 00:00:00,2018-08-08 01:00:00,2.336,
10443720000759353,2018-08-08 01:00:00,2018-08-08 02:00:00,2.651,
10443720000759353,2018-08-08 02:00:00,2018-08-08 03:00:00,2.338,
10443720000759353,2018-08-08 03:00:00,2018-08-08 04:00:00,2.285,
10443720000759353,2018-08-08 04:00:00,2018-08-08 05:00:00,1.177,
10443720000759353,2018-08-08 05:00:00,2018-08-08 06:00:00,2.235,
10443720000759353,2018-08-08 06:00:00,2018-08-08 07:00:00,1.104,
10443720000759353,2018-08-08 07:00:00,2018-08-08 08:00:00,1.199,
10443720000759353,2018-08-08 08:00:00,2018-08-08 09:00:00,2.151,
10443720000759353,2018-08-08 09:00:00,2018-08-08 10:00:00,1.103,
10443720000759353,2018-08-08 10:00:00,2018-08-08 11:00:00,2.321,
10443720000759353,2018-08-08 11:00:00,2018-08-08 12:00:00,2.669,
10443720000759353,2018-08-08 12:00:00,2018-08-08 13:00:00,2.406,
10443720000759353,2018-08-08 13:00:00,2018-08-08 14:00:00,2.405,
10443720000759353,2018-08-08 14:00:00,2018-08-08 15:00:00,2.396,
10443720000759353,2018-08-08 15:00:00,2018-08-08 16:00:00,2.443,
10443720000759353,2018-08-08 16:00:00,2018-08-08 17:00:00,2.517,
10443720000759353,2018-08-08 17:00:00,2018-08-08 18:00:00,2.391,
10443720000759353,2018-08-08 18:00:00,2018-08-08 19:00:00,2.507,
10443720000759353,2018-08-08 19:00:00,2018-08-08 20:00:00,2.691,
10443720000759353,2018-08-08 20:00:00,2018-08-08 21:00:00,2.86,
10443720000759353,2018-08-08 21:00:00,2018-08-08 22:00:00,2.372,
10443720000759353,2018-08-08 22:00:00,2018-08-08 23:00:00,2.336,
10443720000759353,2018-08-08 23:00:00,2018-08-09 00:00:00,1.852,
10443720000759353,2018-08-09 00:00:00,2018-08-09 01:00:00,1.323,
10443720000759353,2018-08-09 01:00:00,2018-08-09 02:00:00,1.771,
10443720000759353,2018-08-09 02:00:00,2018-08-09 03:00:00,1.082,
10443720000759353,2018-08-09 03:00:00,2018-08-09 04:00:00,1.527,
10443720000759353,2018-08-09 04:00:00,2018-08-09 05:00:00,1.328,
10443720000759353,2018-08-09 05:00:00,2018-08-09 06:00:00,0.73,
10443720000759353,2018-08-09 06:00:00,2018-08-09 07:00:00,1.95,
10443720000759353,2018-08-09 07:00:00,2018-08-09 08:00:00,0.145,
10443720000759353,2018-08-09 08:00:00,2018-08-09 09:00:00,1.623,
10443720000759353,2018-08-09 09:00:00,2018-08-09 10:00:00,0.898,
10443720000759353,2018-08-09 10:00:00,2018-08-09 11:00:00,1.924,
10443720000759353,2018-08-09 11:00:00,2018-08-09 12:00:00,1.336,
10443720000759353,2018-08-09 12:00:00,2018-08-09 13:00:00,2.338,
10443720000759353,2018-08-09 13:00:00,2018-08-09 14:00:00,1.538,
10443720000759353,2018-08-09 14:00:00,2018-08-09 15:00:00,2.172,
10443720000759353,2018-08-09 15:00:00,2018-08-09 16:00:00,2.475,
10443720000759353,2018-08-09 16:00:00,2018-08-09 17:00:00,2.461,
10443720000759353,2018-08-09 17:00:00,2018-08-09 18:00:00,2.691,
10443720000759353,2018-08-09 18:00:00,2018-08-09 19:00:00,2.45,
10443720000759353,2018-08-09 19:00:00,2018-08-09 20:00:00,2.492,
10443720000759353,2018-08-09 20:00:00,2018-08-09 21:00:00,2.692,
10443720000759353,2018-08-09 21:00:00,2018-08-09 22:00:00,1.387,
10443720000759353,2018-08-09 22:00:00,2018-08-09 23:00:00,1.824,
10443720000759353,2018-08-09 23:00:00,2018-08-10 00:00:00,0.772,
10443720000759353,2018-08-10 00:00:00,2018-08-10 01:00:00,1.885,
10443720000759353,2018-08-10 01:00:00,2018-08-10 02:00:00,0.202,
10443720000759353,2018-08-10 02:00:00,2018-08-10 03:00:00,1.444,
10443720000759353,2018-08-10 03:00:00,2018-08-10 04:00:00,1.084,
10443720000759353,2018-08-10 04:00:00,2018-08-10 05:00:00,1.342,
10443720000759353,2018-08-10 05:00:00,2018-08-10 06:00:00,0.605,
10443720000759353,2018-08-10 06:00:00,2018-08-10 07:00:00,1.089,
10443720000759353,2018-08-10 07:00:00,2018-08-10 08:00:00,0.448,
10443720000759353,2018-08-10 08:00:00,2018-08-10 09:00:00,0.978,
10443720000759353,2018-08-10 09:00:00,2018-08-10 10:00:00,0.976,
10443720000759353,2018-08-10 10:00:00,2018-08-10 11:00:00,1.054,
10443720000759353,2018-08-10 11:00:00,2018-08-10 12:00:00,0.653,
10443720000759353,2018-08-10 12:00:00,2018-08-10 13:00:00,0.658,
10443720000759353,2018-08-10 13:00:00,2018-08-10 14:00:00,1.149,
10443720000759353,2018-08-10 14:00:00,2018-08-10 15:00:00,1.96,
10443720000759353,2018-08-10 15:00:00,2018-08-10 16:00:00,1.568,
10443720000759353,2018-08-10 16:00:00,2018-08-10 17:00:00,2.283,
10443720000759353,2018-08-10 17:00:00,2018-08-10 18:00:00,2.762,
10443720000759353,2018-08-10 18:00:00,2018-08-10 19:00:00,1.647,
10443720000759353,2018-08-10 19:00:00,2018-08-10 20:00:00,2.143,
10443720000759353,2018-08-10 20:00:00,2018-08-10 21:00:00,3.849,
10443720000759353,2018-08-10 21:00:00,2018-08-10 22:00:00,3.859,
10443720000759353,2018-08-10 22:00:00,2018-08-10 23:00:00,2.885,
10443720000759353,2018-08-10 23:00:00,2018-08-11 00:00:00,1.16,
10443720000759353,2018-08-11 00:00:00,2018-08-11 01:00:00,1.363,
10443720000759353,2018-08-11 01:00:00,2018-08-11 02:00:00,1.239,
10443720000759353,2018-08-11 02:00:00,2018-08-11 03:00:00,1.187,
10443720000759353,2018-08-11 03:00:00,2018-08-11 04:00:00,1.229,
10443720000759353,2018-08-11 04:00:00,2018-08-11 05:00:00,1.03,
10443720000759353,2018-08-11 05:00:00,2018-08-11 06:00:00,1.161,
10443720000759353,2018-08-11 06:00:00,2018-08-11 07:00:00,0.932,
10443720000759353,2018-08-11 07:00:00,2018-08-11 08:00:00,1.939,
10443720000759353,2018-08-11 08:00:00,2018-08-11 09:00:00,1.673,
10443720000759353,2018-08-11 09:00:00,2018-08-11 10:00:00,0.783,
10443720000759353,2018-08-11 10:00:00,2018-08-11 11:00:00,1.694,
10443720000759353,2018-08-11 11:00:00,2018-08-11 12:00:00,0.499,
10443720000759353,2018-08-11 12:00:00,2018-08-11 13:00:00,1.72,
10443720000759353,2018-08-11 13:00:00,2018-08-11 14:00:00,0.933,
10443720000759353,2018-08-11 14:00:00,2018-08-11 15:00:00,1.317,
10443720000759353,2018-08-11 15:00:00,2018-08-11 16:00:00,1.013,
10443720000759353,2018-08-11 16:00:00,2018-08-11 17:00:00,1.33,
10443720000759353,2018-08-11 17:00:00,2018-08-11 18:00:00,2.804,
10443720000759353,2018-08-11 18:00:00,2018-08-11 19:00:00,2.708,
10443720000759353,2018-08-11 19:00:00,2018-08-11 20:00:00,2.767,
10443720000759353,2018-08-11 20:00:00,2018-08-11 21:00:00,3.321,
10443720000759353,2018-08-11 21:00:00,2018-08-11 22:00:00,3.946,
10443720000759353,2018-08-11 22:00:00,2018-08-11 23:00:00,3.304,
10443720000759353,2018-08-11 23:00:00,2018-08-12 00:00:00,2.504,
10443720000759353,2018-08-12 00:00:00,2018-08-12 01:00:00,4.617,
10443720000759353,2018-08-12 01:00:00,2018-08-12 02:00:00,1.524,
